Station,Latitude,Longitude,RL_GEV,RL_POT,RL_MEV,RL_Bayes
ROEBOURNE,-20.78,117.15,305,302,41,358
MARDIE,-21.19,115.98,313,281,36,415
WOOLGORONG,-27.75,115.83,90,90,25,101
BOOLARDY,-26.98,116.54,111,113,24,127
MOUNT MAGNET,-28.06,117.85,113,118,45,133
YOWERAGABBIE,-28.23,117.66,121,122,26,148
KOKARDINE,-30.7,117.06,99,92,42,122
MANARRA,-29.07,115.63,92,97,32,103
MINGENEW,-29.19,115.44,113,128,40,131
PERANGERY,-29.37,116.41,96,99,29,108
WILLIGULLI NORTH,-28.38,114.45,109,115,47,127
BOYANUP,-33.48,115.73,109,109,119,119
CAPE NATURALISTE,-33.54,115.02,91,99,80,97
CAPE RICHE,-34.61,118.75,144,178,48,169
HOPETOUN,-33.93,120.09,109,125,33,124
KENDENUP,-34.49,117.63,121,115,40,152
KING RIVER,-34.94,117.92,121,129,52,140
PARDELUP,-34.63,117.39,93,99,89,104
PEPPERMINT GROVE,-34.44,119.36,200,169,45,266
WILGARRUP,-34.15,116.2,95,104,77,103
COWCOWING,-31,117.4,89,79,23,104
CUTTENING,-31.73,117.76,87,93,26,99
DOODARDING WELL,-31.01,117.2,92,98,25,107
EJANDING,-31.01,117.13,118,108,30,147
MECKERING,-31.63,117.01,87,90,29,97
MERREDIN,-31.48,118.28,75,77,31,83
NUNGARIN,-31.18,118.1,87,96,30,98
THE GRANITES,-31.99,117.93,117,111,28,151
TRAYNING,-31.12,117.79,98,113,28,115
WALK WALKIN,-30.83,117.32,99,92,28,122
CODG CODGEN,-31.34,117.82,90,99,148,102
ARTHUR RIVER,-33.34,117.04,115,151,42,136
BROOMEHILL,-33.84,117.64,108,134,34,126
CORRIGIN,-32.33,117.87,166,158,30,228
CRANBROOK,-34.3,117.55,91,94,54,98
NYERILUP,-33.86,118.82,95,101,33,109
THE OAKS,-33.16,117.67,104,117,29,120
LAKE CARMODY,-32.48,119.36,95,97,44,109
MENZIES,-29.69,121.03,120,134,34,145
NORSEMAN,-32.2,121.78,97,106,27,115
OENPELLI,-12.32,133.06,258,259,240,315
KATHERINE,-14.46,132.26,221,247,162,242
COONDAMBO,-31.06,135.87,91,95,22,106
KONDOOLKA,-32,134.88,103,93,26,128
NONNING,-32.52,136.49,92,103,26,107
WOOMERA,-30.79,136.89,140,134,21,183
YARDEA,-32.38,135.52,82,87,39,93
MARREE,-30.07,138.27,101,90,21,119
MARREE,-29.65,138.06,119,138,28,145
ARNO BAY,-33.91,136.57,83,94,24,99
PENONG,-31.83,132.63,81,81,29,97
CEDUNA,-31.97,133.77,84,75,23,101
SHERINGA,-33.95,135.27,89,91,30,103
BUTLER TANKS,-34.12,136.16,91,97,37,108
WHYALLA,-33.21,137.36,108,128,27,130
CLEVE,-33.87,136.38,93,96,37,115
ELLISTON,-33.65,134.89,65,71,36,70
NULLARBOR,-31.45,130.9,108,81,26,119
APPILA,-33.05,138.43,80,85,31,87
ORROROO,-32.73,138.61,95,100,31,107
ARDROSSAN,-34.42,137.92,85,109,29,99
MINLATON,-34.77,137.6,88,97,34,101
WALLAROO,-33.93,137.64,91,87,30,96
HAPPY VALLEY,-35.06,138.57,81,80,40,85
AUSTRALIA PLAINS,-34.1,139.16,98,90,26,119
EUDUNDA,-34.18,139.09,88,92,83,99
LANGHORNE CREEK,-35.3,139.03,112,99,28,140
MURRAY BRIDGE,-35.12,139.26,94,96,27,109
SWAN REACH,-34.57,139.6,107,101,31,133
PINNAROO,-35.27,140.91,98,112,30,115
KEITH,-36.1,140.36,61,61,55,67
PENOLA,-37.38,140.84,91,96,41,93
PALMERVILLE,-16,144.08,249,233,120,304
BURKETOWN,-17.74,139.55,412,460,124,508
MOSSMAN STH,-16.47,145.37,465,514,265,536
MACKNADE,-18.59,146.25,580,735,255,654
KALAMIA,-19.52,147.42,355,381,163,410
BARCALDINE,-23.55,145.29,181,170,61,209
URANDANGI,-21.61,138.31,168,219,43,195
WINTON,-22.39,143.04,162,172,68,180
BIRDSVILLE,-25.9,139.35,138,137,26,167
WINDORAH EVAP,-25.42,142.66,149,141,38,180
FAIRYMEAD,-24.79,152.36,425,433,106,521
BAUPLE,-25.82,152.62,278,351,110,318
CAPE MORETON,-27.03,153.47,254,299,237,292
GATTON,-27.54,152.34,196,203,63,231
HARRISVILLE,-27.81,152.67,194,191,68,232
MURGON,-26.24,151.94,211,206,73,261
CAMBOOYA,-27.71,151.87,167,171,98,198
CANNING DOWNS,-28.23,152.07,133,142,96,145
DOCTORS CREEK,-27.21,151.85,135,157,80,146
PITTSWORTH,-27.72,151.64,163,166,63,189
MILES,-26.66,150.18,158,159,72,180
CUNNAMULLA,-28.07,145.68,136,143,39,152
MULGA DOWNS,-28.81,147.12,121,145,123,133
THARGOMINDAH,-28,143.82,156,159,34,186
WHITE CLIFFS,-30.85,143.09,152,131,35,192
POONCARIE,-33.39,142.57,122,112,28,148
WENTWORTH,-34.11,141.92,103,118,28,120
COLLARENEBRI,-29.54,148.58,177,198,53,216
PEAK HILL,-32.72,148.19,135,138,51,157
BARRABA,-30.38,150.61,143,152,74,164
BINGARA,-29.87,150.57,148,176,83,162
WALLANGRA,-29.24,150.89,140,168,75,148
CURLEWIS,-31.18,150.03,119,126,52,132
CARROLL,-30.96,150.46,114,136,76,123
YAMBA,-29.43,153.36,292,322,275,339
CASINO,-28.88,153.05,238,276,101,264
CLARENCE TOWN,-32.59,151.77,283,276,151,359
BRANXTON,-32.64,151.42,182,191,70,201
MUDGEE,-32.6,149.6,128,134,57,144
RYLSTONE,-32.81,149.98,113,129,57,122
BATHURST,-33.43,149.56,105,113,55,118
CATARACT DAM,-34.26,150.81,306,410,146,347
JERVIS BAY,-35.09,150.8,260,267,106,318
BETTOWYND,-35.7,149.79,224,271,83,257
MORUYA,-35.91,150.15,240,249,121,276
YASS,-34.74,148.89,105,109,97,115
DENILIQUIN,-35.53,144.97,96,101,42,108
NARADHAN,-33.61,146.32,107,109,62,122
BIRCHIP,-35.92,142.85,100,112,28,116
NARRAPORT,-36,143.04,82,87,31,90
SEA LAKE,-35.5,142.85,99,108,28,113
YANAC NORTH,-36.11,141.42,108,139,45,127
KANIVA,-36.37,141.24,99,106,40,118
DRUNG DRUNG,-36.78,142.39,86,94,42,96
NATIMUK,-36.74,141.94,100,111,32,114
CANARY ISLAND,-35.97,143.85,105,109,68,125
ST ARNAUD,-36.48,143.35,91,82,107,104
YARROWEYAH,-35.93,145.56,106,110,42,118
BEECHWORTH,-36.37,146.71,112,120,104,119
GABO ISLAND,-37.57,149.92,180,189,116,201
