Site,Name,Lat,Lon,Start,End,Years,%,AWS
1000,KARUNJIE,-16.2919,127.1956,Oct-40,Aug-81,24.9,61,N
1001,OOMBULGURRI,-15.1806,127.8456,Jan-14,Jan-11,56.4,58,N
1003,PAGO MISSION,-14.1331,126.7158,Nov-08,Apr-40,31.5,100,N
1004,KUNMUNYA,-15.4167,124.7167,Jan-15,Dec-48,34,100,N
1005,WYNDHAM PORT,-15.4644,128.1,Nov 1886,Mar-95,101.2,93,N
1006,WYNDHAM AERO,-15.51,128.1503,Feb-51,Jan-24,39.8,54,Y
1007,TROUGHTON ISLAND,-13.7542,126.1485,Sep-56,Jan-24,38.2,57,Y
1008,MOUNT ELIZABETH OLD SITE,-16.3017,126.1825,Sep-59,Nov-77,18.1,99,N
1009,KURI BAY,-15.4875,124.5222,Aug-61,Mar-12,45.8,90,N
1010,THEDA,-14.7885,126.4963,Oct-65,Jan-24,56.3,97,N
1011,PANTA DOWNS,-16.0497,124.95,Dec-66,Jan-69,1.8,81,N
1012,MITCHELL PLATEAU,-14.7925,125.8258,Jan-68,Oct-86,18.7,99,N
1013,WYNDHAM,-15.4869,128.1236,Apr-68,May-20,52.2,100,N
1014,EMMA GORGE,-15.9083,128.1286,Jan-98,Jan-24,20.8,80,N
1016,CARSON RIVER STATION,-14.4861,126.7664,Dec-70,Mar-97,15.7,59,N
1017,NULLA NULLA,-15.5,127.8333,Apr-23,Sep-26,3.4,97,N
1018,MOUNT ELIZABETH,-16.4181,126.1025,Feb-73,May-22,48.2,98,N
1019,KALUMBURU,-14.2964,126.6453,Sep-98,Jan-24,25.3,100,Y
1020,TRUSCOTT,-14.09,126.3867,May-04,Jan-24,19.7,99,Y
1021,KALUMBURU MISSION,-14.2961,126.6431,Sep-41,Mar-05,63.5,100,N
1022,WYNDHAM SIX MILE HOTEL,-15.4997,128.1997,Jan-00,Dec-17,8.7,48,N
1023,EL QUESTRO,-16.0086,127.9806,Dec-67,Jan-24,38.3,68,N
1024,ELLENBRAE,-15.9572,127.0628,Jan-87,Jan-24,31.4,85,N
1025,DOONGAN,-15.3797,126.3114,Jan-88,Jan-24,35.9,99,N
1026,DRYSDALE RIVER STATION,-15.7031,126.3781,Jan-88,Jan-24,36.1,100,N
1027,DIGGERS REST,-15.6394,128.0803,Jan-71,Jan-24,28.3,53,N
1028,HOME VALLEY,-15.7231,127.8292,Aug-91,Feb-20,17.2,60,N
1029,WYNDHAM NORTH,-15.4467,128.1075,Sep-89,Feb-95,4.5,82,N
1030,KIMBERLEY COASTAL CAMP,-14.5786,125.9133,Nov-95,Dec-13,9.3,51,N
1031,FARAWAY BAY,-13.96,127.1964,Nov-96,Jan-23,24.9,95,N
1032,MCGOWAN ISLAND,-14.1472,126.6483,Aug-97,Apr-00,1.5,55,N
1035,PARRY CREEK FARM,-15.5972,128.2783,Jan-03,Jan-24,21.1,100,N
2000,ALICE DOWNS,-17.7569,127.9386,Nov-04,Dec-02,87.8,89,N
2001,ARGYLE DOWNS,-16.5039,128.9173,Jan 1890,Apr-19,120.4,93,N
2002,BOHEMIA DOWNS,-18.8833,126.2333,Apr-06,Sep-59,42.4,79,N
2003,BOW RIVER,-16.87,128.1836,Dec-45,Nov-94,44.7,91,N
2004,GLEN HILL,-16.5833,128.3667,Jul-62,Aug-64,2.1,96,N
2005,CARLTON HILL,-15.4864,128.5344,Oct 1897,May-22,110.8,89,N
2006,ASCOT,-15.5,128.25,Oct-10,Sep-21,11,100,N
2007,DUNHAM RIVER STATION,-16.3167,128.25,Sep-20,Dec-70,43.7,87,N
2008,FLORA VALLEY OLD,-18.3167,128,Sep 1898,Oct-75,72.5,94,N
2009,GIBB RIVER,-16.4202,126.4412,Jan-22,Jan-24,96.4,94,N
