Station,Record Length,RL MLE (mm),Width MLE (mm),RL LMOM (mm),Width LMOM (mm),RL Bayes Weak (mm),Width Bayes Weak (mm),RL Bayes Expert (mm),Width Bayes Expert (mm),Shrinkage Weak,Shrinkage Expert,CV Bias,
ROEBOURNE,130, 318.78 , 249.76 , 286.42 , 151.97 , 333.87 , 393.24 , 269.91 , 102.48 , 1.57 , 0.41 , 0.05 ,
MARDIE,140, 319.79 , 264.45 , 283.20 , 165.88 , 332.17 , 402.60 , 263.18 , 102.32 , 1.52 , 0.39 , 0.05 ,
WOOLGORONG,121, 94.09 , 36.02 , 98.36 , 42.57 , 96.01 , 48.60 , 94.43 , 31.51 , 1.35 , 0.87 , 0.05 ,
BOOLARDY,133, 112.68 , 49.56 , 114.75 , 50.64 , 115.12 , 66.66 , 111.94 , 36.50 , 1.34 , 0.74 , 0.10 ,
MOUNT MAGNET,118, 114.10 , 55.96 , 119.09 , 66.08 , 117.35 , 81.44 , 113.87 , 43.49 , 1.46 , 0.78 , 0.03 ,
YOWERAGABBIE,126, 119.26 , 62.01 , 122.61 , 69.78 , 122.39 , 85.74 , 119.26 , 43.96 , 1.38 , 0.71 , 0.01 ,
KOKARDINE,117, 106.11 , 72.02 , 102.54 , 71.49 , 107.25 , 101.53 , 99.71 , 41.45 , 1.41 , 0.58 , 0.02 ,
MANARRA,110, 102.65 , 52.70 , 103.67 , 53.82 , 106.77 , 81.08 , 100.18 , 35.27 , 1.54 , 0.67 , 0.00 ,
MINGENEW,127, 111.05 , 36.66 , 113.73 , 53.75 , 113.47 , 49.17 , 111.28 , 34.24 , 1.34 , 0.93 , 0.02 ,
PERANGERY,106, 98.26 , 38.84 , 106.82 , 54.32 , 100.67 , 52.04 , 97.80 , 32.04 , 1.34 , 0.82 , 0.00 ,
WILLIGULLI NORTH,93, 114.77 , 54.27 , 126.36 , 83.13 , 116.63 , 71.49 , 111.77 , 40.95 , 1.32 , 0.75 , 0.07 ,
BOYANUP,111, 105.84 , 20.64 , 110.67 , 42.91 , 107.01 , 25.23 , 107.32 , 22.39 , 1.22 , 1.08 ,-0.02 ,
CAPE NATURALISTE,118, 106.46 , 51.43 , 104.21 , 40.46 , 107.88 , 73.18 , 100.39 , 30.76 , 1.42 , 0.60 ,-0.01 ,
CAPE RICHE,122, 144.18 , 56.75 , 158.05 , 95.92 , 147.63 , 73.46 , 146.57 , 55.88 , 1.29 , 0.98 ,-0.00 ,
HOPETOUN,113, 107.59 , 36.47 , 115.70 , 56.48 , 112.06 , 48.99 , 105.82 , 28.99 , 1.34 , 0.79 ,-0.05 ,
KENDENUP,118, 112.47 , 62.96 , 115.62 , 75.36 , 113.97 , 88.05 , 108.52 , 47.49 , 1.40 , 0.75 , 0.03 ,
KING RIVER,105, 121.65 , 49.67 , 129.94 , 72.50 , 124.54 , 70.96 , 121.57 , 40.70 , 1.43 , 0.82 ,-0.02 ,
PARDELUP,116, 101.32 , 45.83 , 107.63 , 62.14 , 102.72 , 62.48 , 99.93 , 34.24 , 1.36 , 0.75 ,-0.05 ,
